transect_number,quadrat,species,percent_cover
33,1,avena fatua,20
33,1,elymus scaber,20
33,1,bromus hordeaceus,10
33,1,oxalis perennans,2
33,1,plantago lanceolata,5
33,1,romulea rosea,1
33,1,microlaena stipoides,0.5
33,1,briza minor,0.5
33,1,juncus subsecundus,0.5
33,1,BG,5
33,2,microlaena stipoides,30
33,2,asperula conferta,10
33,2,plantago lanceolata,20
33,2,bromus hordeaceus,20
33,2,trifolium angustifolium,0.5
33,2,acaena echinata,10
33,2,briza minor,0.5
33,2,avena fatua,0.5
33,2,romulea rosea,1
33,2,sonchus asper,0.5
33,2,BG,5
33,3,avena fatua,1
33,3,eryngium ovinum,10
33,3,plantago lanceolata,5
33,3,bromus hordeaceus,20
33,3,microlaena stipoides,40
33,3,dichelachne crinita,0.5
33,3,acaena echinata,0.5
33,3,hypochaeris radicata,5
33,3,rytidosperma racemosum,0.5
33,3,phalaris aquatica,0.5
33,3,briza minor,1
33,3,trifolium angustifolium,0.5
33,3,trifolium glomeratum,0.5
33,3,rumex sp.,0.5
33,3,BG,2
33,4,microlaena stipoides,5
33,4,dichelachne crinita,0.5
33,4,bromus hordeaceus,30
33,4,acaena echinata,5
33,4,elymus scaber,10
33,4,vulpia bromoides,0.5
33,4,aira caryophyllea,0.5
33,4,asperula conferta,10
33,4,oxalis perennans,0.5
33,4,dactylis glomerata,0.5
33,4,hypochaeris radicata,0.5
33,4,plantago lanceolata,2
33,4,romulea rosea,1
33,4,haloragis heterophylla,0.5
33,4,trifolium angustifolium,0.5
33,4,lolium perenne,0.5
33,4,BG,0.5
33,5,avena fatua,1
33,5,briza maxima,10
33,5,dichelachne crinita,0.5
33,5,holcus lanatus,1
33,5,aira caryophyllea,1
33,5,plantago lanceolata,1
33,5,briza minor,10
33,5,microlaena stipoides,60
33,5,sonchus asper,0.5
33,5,lolium perenne,0.5
33,5,trifolium angustifolium,0.5
33,5,bromus hordeaceus,10
33,5,romulea rosea,0.5
33,5,elymus scaber,0.5
33,5,BG,2
33,6,bromus hordeaceus,25
33,6,romulea rosea,2
33,6,briza minor,15
33,6,briza maxima,0.5
33,6,microlaena stipoides,30
33,6,themeda triandra,10
33,6,vulpia bromoides,1
33,6,plantago lanceolata,1
33,6,trifolium glomeratum,0.5
33,6,helminthotheca echioides,0.5
33,6,lolium perenne,0.5
33,6,BG,10
33,7,dichelachne crinita,10
33,7,arthropodium strictum,2
33,7,plantago lanceolata,2
33,7,bromus hordeaceus,35
33,7,lolium perenne,0.5
33,7,briza minor,2
33,7,romulea rosea,0.5
33,7,asperula conferta,2
33,7,themeda triandra,1
33,7,microlaena stipoides,5
33,7,rytidosperma racemosum,0.5
33,7,phalaris aquatica,1
33,7,BG,30
33,8,eryngium ovinum,1
